Date,Time,Open,High,Low,Close,Tick volume,Mid_price,Price_range,Hour
2017-01-26,14:30:00,125.57,125.81,125.47,125.64,866,125.64,0.34,14
2017-01-26,15:00:00,125.63,125.69,125.43,125.43,584,125.56,0.26,15
2017-01-26,15:30:00,125.42,125.56,125.4,125.43,381,125.48,0.16,15
2017-01-26,16:00:00,125.44,125.56,125.34,125.55,296,125.45,0.22,16
2017-01-26,16:30:00,125.54,125.62,125.5,125.5,297,125.56,0.12,16
2017-01-26,17:00:00,125.51,125.58,125.45,125.54,192,125.515,0.13,17
2017-01-26,17:30:00,125.55,125.63,125.5,125.57,151,125.565,0.13,17
2017-01-26,18:00:00,125.58,125.64,125.44,125.49,152,125.54,0.2,18
2017-01-26,18:30:00,125.48,125.56,125.46,125.56,140,125.51,0.1,18
2017-01-26,19:00:00,125.56,125.75,125.53,125.74,165,125.64,0.22,19
2017-01-26,19:30:00,125.73,125.74,125.61,125.62,157,125.675,0.13,19
2017-01-26,20:00:00,125.61,125.63,125.54,125.58,153,125.585,0.09,20
2017-01-26,20:30:00,125.59,125.64,125.46,125.53,239,125.55,0.18,20
2017-01-26,21:00:00,125.54,125.54,125.53,125.53,3,125.535,0.01,21
2017-01-27,14:30:00,125.8,125.91,125.45,125.55,1182,125.68,0.46,14
2017-01-27,15:00:00,125.54,125.62,125.39,125.56,542,125.505,0.23,15
2017-01-27,15:30:00,125.57,125.73,125.57,125.65,285,125.65,0.16,15
2017-01-27,16:00:00,125.66,125.77,125.57,125.73,325,125.67,0.2,16
2017-01-27,16:30:00,125.74,125.75,125.64,125.7,285,125.695,0.11,16
2017-01-27,17:00:00,125.69,125.8,125.68,125.77,203,125.74,0.12,17
2017-01-27,17:30:00,125.76,125.8,125.69,125.77,155,125.745,0.11,17
2017-01-27,18:00:00,125.77,125.79,125.7,125.72,159,125.745,0.09,18
2017-01-27,18:30:00,125.72,125.76,125.67,125.68,123,125.715,0.09,18
2017-01-27,19:00:00,125.67,125.72,125.63,125.71,109,125.675,0.09,19
2017-01-27,19:30:00,125.7,125.76,125.69,125.74,119,125.725,0.07,19
2017-01-27,20:00:00,125.75,125.75,125.58,125.59,91,125.665,0.17,20
2017-01-27,20:30:00,125.6,125.81,125.6,125.78,178,125.705,0.21,20
2017-01-27,21:00:00,125.77,125.78,125.77,125.77,3,125.775,0.01,21
2017-01-30,14:30:00,125.37,125.37,124.439,124.56,2109,124.9045,0.931,14
2017-01-30,15:00:00,124.559,124.59,124.12,124.37,1547,124.355,0.47,15
2017-01-30,15:30:00,124.369,124.4,124.16,124.27,1022,124.28,0.24,15
2017-01-30,16:00:00,124.27,124.55,124.18,124.44,703,124.365,0.37,16
2017-01-30,16:30:00,124.439,124.66,124.38,124.65,589,124.52,0.28,16
2017-01-30,17:00:00,124.649,124.68,124.56,124.58,392,124.62,0.12,17
2017-01-30,17:30:00,124.58,124.58,124.42,124.49,422,124.5,0.16,17
2017-01-30,18:00:00,124.5,124.61,124.43,124.54,343,124.52,0.18,18
2017-01-30,18:30:00,124.539,124.54,124.42,124.48,355,124.48,0.12,18
2017-01-30,19:00:00,124.49,124.72,124.47,124.7,433,124.595,0.25,19
2017-01-30,19:30:00,124.699,124.76,124.61,124.73,322,124.685,0.15,19
2017-01-30,20:00:00,124.729,124.729,124.56,124.57,359,124.6445,0.169,20
2017-01-30,20:30:00,124.58,124.9,124.55,124.849,444,124.725,0.35,20
2017-01-30,21:00:00,124.84,124.84,124.83,124.83,5,124.835,0.01,21
2017-01-31,14:30:00,124.37,124.54,124.15,124.28,2090,124.345,0.39,14
2017-01-31,15:00:00,124.28,124.47,124.02,124.27,1187,124.245,0.45,15
2017-01-31,15:30:00,124.28,124.44,124.04,124.1,1237,124.24,0.4,15
2017-01-31,16:00:00,124.11,124.21,124.01,124.01,824,124.11,0.2,16
2017-01-31,16:30:00,124.02,124.05,123.87,123.88,757,123.96,0.18,16
2017-01-31,17:00:00,123.89,124.09,123.85,124.07,507,123.97,0.24,17
2017-01-31,17:30:00,124.08,124.14,124.02,124.06,335,124.08,0.12,17
2017-01-31,18:00:00,124.07,124.13,123.969,124.13,369,124.0495,0.161,18
2017-01-31,18:30:00,124.14,124.17,123.92,123.95,380,124.045,0.25,18
2017-01-31,19:00:00,123.96,124.15,123.93,124.13,511,124.04,0.22,19
2017-01-31,19:30:00,124.129,124.32,124.08,124.3,370,124.2,0.24,19
2017-01-31,20:00:00,124.31,124.47,124.31,124.42,382,124.39,0.16,20
2017-01-31,20:30:00,124.43,124.58,124.43,124.58,330,124.505,0.15,20
2017-01-31,21:00:00,124.59,124.59,124.58,124.58,2,124.585,0.01,21
2017-02-01,14:30:00,125.42,125.67,125.35,125.37,798,125.51,0.32,14
2017-02-01,15:00:00,125.38,125.48,125.09,125.22,654,125.285,0.39,15
2017-02-01,15:30:00,125.21,125.29,124.91,124.94,551,125.1,0.38,15
2017-02-01,16:00:00,124.95,125.12,124.91,124.95,451,125.015,0.21,16
2017-02-01,16:30:00,124.96,125.03,124.86,125.0,344,124.945,0.17,16
2017-02-01,17:00:00,125.01,125.13,125.0,125.13,229,125.065,0.13,17
2017-02-01,17:30:00,125.14,125.29,125.14,125.22,209,125.215,0.15,17
2017-02-01,18:00:00,125.21,125.33,125.19,125.22,186,125.26,0.14,18
2017-02-01,18:30:00,125.23,125.27,125.04,125.11,271,125.155,0.23,18
2017-02-01,19:00:00,125.08,125.52,125.05,125.47,933,125.285,0.47,19
2017-02-01,19:30:00,125.48,125.48,125.19,125.36,503,125.335,0.29,19
2017-02-01,20:00:00,125.37,125.57,125.37,125.56,357,125.47,0.2,20
2017-02-01,20:30:00,125.55,125.6,125.41,125.41,217,125.505,0.19,20
2017-02-01,21:00:00,125.41,125.42,125.41,125.42,2,125.415,0.01,21
2017-02-02,14:30:00,125.19,125.57,124.85,125.56,1169,125.21,0.72,14
2017-02-02,15:00:00,125.55,125.56,125.34,125.38,1003,125.45,0.22,15
2017-02-02,15:30:00,125.39,125.65,125.34,125.63,876,125.495,0.31,15
2017-02-02,16:00:00,125.636,125.69,125.54,125.56,792,125.615,0.15,16
2017-02-02,16:30:00,125.56,125.56,125.13,125.14,714,125.345,0.43,16
2017-02-02,17:00:00,125.139,125.22,125.08,125.2,735,125.15,0.14,17
2017-02-02,17:30:00,125.206,125.4,125.17,125.28,423,125.285,0.23,17
2017-02-02,18:00:00,125.286,125.3,125.14,125.17,324,125.22,0.16,18
2017-02-02,18:30:00,125.16,125.39,125.15,125.32,467,125.27,0.24,18
2017-02-02,19:00:00,125.296,125.33,125.13,125.13,392,125.23,0.2,19
2017-02-02,19:30:00,125.136,125.23,125.058,125.18,501,125.144,0.172,19
2017-02-02,20:00:00,125.18,125.33,125.16,125.32,466,125.245,0.17,20
2017-02-02,20:30:00,125.32,125.39,125.236,125.3,475,125.313,0.154,20
2017-02-02,21:00:00,125.307,125.307,125.306,125.306,3,125.3065,0.001,21
2017-02-03,14:30:00,125.476,125.64,125.39,125.516,2171,125.515,0.25,14
2017-02-03,15:00:00,125.527,125.8,125.43,125.66,1547,125.615,0.37,15
2017-02-03,15:30:00,125.66,125.7,125.53,125.58,1196,125.615,0.17,15
2017-02-03,16:00:00,125.587,125.72,125.42,125.49,899,125.57,0.3,16
2017-02-03,16:30:00,125.48,125.52,125.33,125.44,605,125.425,0.19,16
2017-02-03,17:00:00,125.44,125.58,125.43,125.53,467,125.505,0.15,17
2017-02-03,17:30:00,125.536,125.58,125.52,125.53,256,125.55,0.06,17
2017-02-03,18:00:00,125.538,125.58,125.46,125.57,337,125.52,0.12,18
2017-02-03,18:30:00,125.57,125.59,125.45,125.5,360,125.52,0.14,18
2017-02-03,19:00:00,125.506,125.59,125.5,125.56,268,125.545,0.09,19
2017-02-03,19:30:00,125.55,125.64,125.55,125.61,218,125.595,0.09,19
2017-02-03,20:00:00,125.61,125.7,125.59,125.64,200,125.645,0.11,20
2017-02-03,20:30:00,125.636,125.69,125.59,125.66,414,125.64,0.1,20
2017-02-03,21:00:00,125.666,125.666,125.666,125.666,2,125.666,0.0,21
2017-02-06,14:30:00,125.446,125.6,125.35,125.54,2004,125.475,0.25,14
2017-02-06,15:00:00,125.547,125.657,125.45,125.63,777,125.5535,0.207,15
2017-02-06,15:30:00,125.63,125.67,125.53,125.54,676,125.6,0.14,15
2017-02-06,16:00:00,125.54,125.84,125.53,125.82,470,125.685,0.31,16
2017-02-06,16:30:00,125.826,125.83,125.68,125.73,339,125.755,0.15,16
2017-02-06,17:00:00,125.73,125.75,125.68,125.72,223,125.715,0.07,17
2017-02-06,17:30:00,125.716,125.716,125.62,125.64,471,125.668,0.096,17
2017-02-06,18:00:00,125.639,125.67,125.5,125.59,490,125.585,0.17,18
2017-02-06,18:30:00,125.589,125.66,125.5,125.64,446,125.58,0.16,18
2017-02-06,19:00:00,125.649,125.68,125.59,125.64,490,125.635,0.09,19
2017-02-06,19:30:00,125.64,125.69,125.6,125.65,583,125.645,0.09,19
2017-02-06,20:00:00,125.657,125.76,125.65,125.72,407,125.705,0.11,20
2017-02-06,20:30:00,125.728,125.816,125.69,125.816,324,125.753,0.126,20
2017-02-06,21:00:00,125.816,125.816,125.816,125.816,2,125.816,0.0,21
2017-02-07,14:30:00,126.057,126.28,125.97,126.22,1460,126.125,0.31,14
2017-02-07,15:00:00,126.226,126.39,126.2,126.28,611,126.295,0.19,15
2017-02-07,15:30:00,126.27,126.5,126.27,126.47,451,126.385,0.23,15
2017-02-07,16:00:00,126.469,126.54,126.27,126.34,397,126.405,0.27,16
2017-02-07,16:30:00,126.336,126.43,126.29,126.4,412,126.36,0.14,16
2017-02-07,17:00:00,126.39,126.45,126.23,126.25,448,126.34,0.22,17
2017-02-07,17:30:00,126.246,126.31,126.07,126.15,648,126.19,0.24,17
2017-02-07,18:00:00,126.15,126.26,126.1,126.25,471,126.18,0.16,18
2017-02-07,18:30:00,126.246,126.36,126.23,126.3,272,126.295,0.13,18
2017-02-07,19:00:00,126.31,126.35,126.15,126.19,300,126.25,0.2,19
2017-02-07,19:30:00,126.196,126.26,126.16,126.21,249,126.21,0.1,19
2017-02-07,20:00:00,126.215,126.3,126.18,126.25,318,126.24,0.12,20
2017-02-07,20:30:00,126.249,126.279,126.12,126.279,420,126.1995,0.159,20
2017-02-07,21:00:00,126.27,126.279,126.27,126.279,3,126.2745,0.009,21
2017-02-08,14:30:00,126.107,126.15,125.88,126.08,1724,126.015,0.27,14
2017-02-08,15:00:00,126.08,126.36,126.04,126.3,874,126.2,0.32,15
2017-02-08,15:30:00,126.31,126.53,126.21,126.477,951,126.37,0.32,15
2017-02-08,16:00:00,126.48,126.56,126.43,126.44,708,126.495,0.13,16
2017-02-08,16:30:00,126.439,126.48,126.37,126.43,423,126.425,0.11,16
